resume_text,job_role
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter internship project teamwork communication problem solving,Data Scientist
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter deployed app using streamlit and github,Data Scientist
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter worked on dataset preprocessing and feature engineering,Data Scientist
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter built dashboards and presented insights to stakeholders,Data Scientist
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter used version control with git and github actions,Data Scientist
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter collaborated in agile scrum environment,Data Scientist
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter wrote documentation testing and debugging reports,Data Scientist
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter optimized model performance using cross validation,Data Scientist
Python pandas numpy scikit-learn machine learning model classification regression data analysis sql jupyter created end to end project with deployment,Data Scientist
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training internship project teamwork communication problem solving,Machine Learning Engineer
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training deployed app using streamlit and github,Machine Learning Engineer
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training worked on dataset preprocessing and feature engineering,Machine Learning Engineer
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training built dashboards and presented insights to stakeholders,Machine Learning Engineer
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training used version control with git and github actions,Machine Learning Engineer
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training collaborated in agile scrum environment,Machine Learning Engineer
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training wrote documentation testing and debugging reports,Machine Learning Engineer
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training optimized model performance using cross validation,Machine Learning Engineer
TensorFlow keras deep learning neural network pytorch python computer vision nlp model training created end to end project with deployment,Machine Learning Engineer
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics internship project teamwork communication problem solving,Data Analyst
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics deployed app using streamlit and github,Data Analyst
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics worked on dataset preprocessing and feature engineering,Data Analyst
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics built dashboards and presented insights to stakeholders,Data Analyst
